Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
2521,12,0,0.003618,0.007638,0,0,FALSE,
5039,7,0.02,0.001612,0.002584,1,1,TRUE,
5039,8,0.02,0.001952,0.005359,0,0,FALSE,
5039,9,0.02,0.002324,0.006838,0,0,FALSE,
5039,10,0.02,0.002725,0.008233,0,0,FALSE,
5039,11,0.01,0.003156,0.009238,0,0,FALSE,
5039,12,0,0.003618,0.008672,0,0,FALSE,
10000,8,0.79,0.001968,0.005893,1,1,TRUE,
10000,9,0.79,0.002342,0.007651,0,0,FALSE,
10000,10,0.24,0.002731,0.007539,0,0,FALSE,
10000,11,0.02,0.003157,0.005954,0,0,FALSE,
10000,12,0,0.003618,0.008996,0,0,FALSE,
10000,13,0,0.00411,0.010519,0,0,FALSE,
10081,8,24.99,0.002603,0.008337,0,0,FALSE,
10081,9,2.77,0.002389,0.006087,1,1,TRUE,
10081,10,0.27,0.002732,0.008136,0,0,FALSE,
10081,11,0.02,0.003157,0.009775,0,0,FALSE,
10081,12,0,0.003618,0.008587,0,0,FALSE,
10081,13,0,0.00411,0.011296,0,0,FALSE,
13441,8,33.33,0.002928,0.004472,0,0,FALSE,
13441,9,3.7,0.002412,0.006231,1,0,FALSE,
13441,10,0.36,0.002734,0.007237,0,0,FALSE,
13441,11,0.03,0.003157,0.004305,0,1,FALSE,
13441,12,0,0.003618,0.009811,0,0,FALSE,
13441,13,0,0.00411,0.008246,0,0,FALSE,
20161,8,50,0.003904,0.010532,0,0,FALSE,
20161,9,5.55,0.00246,0.004912,1,1,TRUE,
20161,10,0.55,0.00274,0.007172,0,0,FALSE,
20161,11,0.05,0.003158,0.007854,0,0,FALSE,
20161,12,0,0.003618,0.009291,0,0,FALSE,
20161,13,0,0.00411,0.009816,0,0,FALSE,
40319,8,0,0.001952,0.004763,1,0,FALSE,
40319,9,0,0.002323,0.004777,0,0,FALSE,
40319,10,0,0.002725,0.003897,0,1,FALSE,
40319,11,0,0.003156,0.008258,0,0,FALSE,
40319,12,0,0.003618,0.009313,0,0,FALSE,
40319,13,0,0.00411,0.006016,0,0,FALSE,
90721,9,25,0.003097,0.006359,0,0,FALSE,
90721,10,2.5,0.002794,0.007677,1,0,FALSE,
90721,11,0.23,0.003163,0.003979,0,1,FALSE,
90721,12,0.02,0.003619,0.006291,0,0,FALSE,
90721,13,0,0.00411,0.01057,0,0,FALSE,
90721,14,0,0.004633,0.010994,0,0,FALSE,
120961,9,33.33,0.003485,0.008325,0,0,FALSE,
120961,10,3.33,0.002818,0.007428,1,0,FALSE,
120961,11,0.3,0.003166,0.009022,0,0,FALSE,
120961,12,0.02,0.003619,0.01064,0,0,FALSE,
120961,13,0,0.00411,0.006496,0,0,FALSE,
120961,14,0,0.004633,0.005066,0,1,FALSE,
147326,9,18.8,0.002861,0.008228,0,0,FALSE,
