Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
7,4,12.5,0.000646,0.002563,1,0,FALSE,
7,5,0.83,0.000746,0.000966,0,1,FALSE,
7,6,0.83,0.000942,0.003207,0,0,FALSE,
7,7,0,0.001149,0.00116,0,0,FALSE,
7,8,0,0.001385,0.00154,0,0,FALSE,
7,9,0,0.001641,0.003354,0,0,FALSE,
9,4,25,0.000754,0.003349,1,0,FALSE,
9,5,2.5,0.000758,0.000837,0,1,FALSE,
9,6,0,0.000934,0.00321,0,0,FALSE,
9,7,0,0.001149,0.004074,0,0,FALSE,
9,8,0,0.001385,0.001429,0,0,FALSE,
9,9,0,0.001641,0.001956,0,0,FALSE,
10,4,16.67,0.000678,0.001957,1,0,FALSE,
10,5,0,0.00074,0.001292,0,0,FALSE,
10,6,0,0.000934,0.003122,0,0,FALSE,
10,7,0,0.001149,0.001268,0,1,FALSE,
10,8,0,0.001385,0.003295,0,0,FALSE,
10,9,0,0.001641,0.003504,0,0,FALSE,
13,4,45.83,0.001043,0.001819,0,0,FALSE,
13,5,2.5,0.000758,0.001183,1,0,FALSE,
13,6,0.69,0.000941,0.001006,0,1,FALSE,
13,7,0.18,0.001151,0.00288,0,0,FALSE,
13,8,0.02,0.001385,0.002053,0,0,FALSE,
13,9,0,0.001641,0.00166,0,0,FALSE,
23,4,4.17,0.00059,0.001749,1,0,FALSE,
23,5,4.17,0.000772,0.003006,0,0,FALSE,
23,6,0.97,0.000943,0.003312,0,0,FALSE,
23,7,0.06,0.00115,0.00164,0,0,FALSE,
23,8,0,0.001385,0.001462,0,1,FALSE,
23,9,0,0.001641,0.003256,0,0,FALSE,
31,5,22.5,0.000954,0.001161,0,0,FALSE,
31,6,0.97,0.000943,0.001015,1,1,TRUE,
31,7,0.36,0.001153,0.001912,0,0,FALSE,
31,8,0.05,0.001385,0.001352,0,0,FALSE,
31,9,0.01,0.001641,0.001912,0,0,FALSE,
31,10,0,0.001917,0.002074,0,0,FALSE,
41,5,31.67,0.001082,0.00246,0,0,FALSE,
41,6,3.19,0.000965,0.00106,1,1,TRUE,
41,7,0.75,0.001158,0.002234,0,0,FALSE,
41,8,0.04,0.001385,0.00431,0,0,FALSE,
41,9,0.01,0.001641,0.002387,0,0,FALSE,
41,10,0,0.001917,0.002246,0,0,FALSE,
52,5,13.33,0.000853,0.002888,1,0,FALSE,
52,6,6.11,0.000995,0.003361,0,0,FALSE,
52,7,0.95,0.00116,0.001746,0,1,FALSE,
52,8,0.05,0.001385,0.003173,0,0,FALSE,
52,9,0.01,0.001641,0.001889,0,0,FALSE,
52,10,0,0.001917,0.002279,0,0,FALSE,
61,5,49.17,0.001455,0.006021,0,0,FALSE,
61,6,6.81,0.001002,0.001234,1,1,TRUE,
61,7,0.75,0.001158,0.001261,0,0,FALSE,
61,8,0.15,0.001387,0.003421,0,0,FALSE,
61,9,0.01,0.001641,0.002392,0,0,FALSE,
61,10,0,0.001917,0.003897,0,0,FALSE,
119,5,0.83,0.000746,0.002356,1,0,FALSE,
