Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
7,4,12.5,0.000635,0.000959,1,1,TRUE,
7,5,0.83,0.000746,0.000972,0,0,FALSE,
7,6,0.83,0.000951,0.002601,0,0,FALSE,
7,7,0,0.001166,0.001203,0,0,FALSE,
7,8,0,0.001407,0.001771,0,0,FALSE,
7,9,0,0.001668,0.001827,0,0,FALSE,
9,4,25,0.000741,0.00099,1,1,TRUE,
9,5,2.5,0.000759,0.002653,0,0,FALSE,
9,6,0,0.000943,0.002257,0,0,FALSE,
9,7,0,0.001166,0.003499,0,0,FALSE,
9,8,0,0.001407,0.001384,0,0,FALSE,
9,9,0,0.001668,0.005535,0,0,FALSE,
10,4,16.67,0.000667,0.000867,1,1,TRUE,
10,5,0,0.00074,0.002676,0,0,FALSE,
10,6,0,0.000943,0.003523,0,0,FALSE,
10,7,0,0.001166,0.00319,0,0,FALSE,
10,8,0,0.001407,0.005023,0,0,FALSE,
10,9,0,0.001668,0.002703,0,0,FALSE,
13,4,45.83,0.001025,0.001343,0,1,FALSE,
13,5,2.5,0.000759,0.002187,1,0,FALSE,
13,6,0.69,0.00095,0.001503,0,0,FALSE,
13,7,0.18,0.001168,0.00373,0,0,FALSE,
13,8,0.02,0.001408,0.003337,0,0,FALSE,
13,9,0,0.001668,0.006258,0,0,FALSE,
23,4,4.17,0.00058,0.002312,1,0,FALSE,
23,5,4.17,0.000772,0.002988,0,0,FALSE,
23,6,0.97,0.000953,0.003296,0,0,FALSE,
23,7,0.06,0.001167,0.001868,0,1,FALSE,
23,8,0,0.001407,0.004896,0,0,FALSE,
23,9,0,0.001668,0.00591,0,0,FALSE,
31,5,22.5,0.000955,0.00153,0,1,FALSE,
31,6,0.97,0.000953,0.003081,1,0,FALSE,
31,7,0.36,0.00117,0.00214,0,0,FALSE,
31,8,0.05,0.001408,0.002831,0,0,FALSE,
31,9,0.01,0.001668,0.002091,0,0,FALSE,
31,10,0,0.001947,0.002602,0,0,FALSE,
41,5,31.67,0.001083,0.002202,0,0,FALSE,
41,6,3.19,0.000975,0.001661,1,0,FALSE,
41,7,0.75,0.001175,0.001205,0,1,FALSE,
41,8,0.04,0.001408,0.001739,0,0,FALSE,
41,9,0.01,0.001668,0.001927,0,0,FALSE,
41,10,0,0.001947,0.002226,0,0,FALSE,
