Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
7,4,12.5,0.000896,0.001457,1,1,TRUE,
7,5,0.83,0.001035,0.001619,0,0,FALSE,
7,6,0.83,0.001312,0.003093,0,0,FALSE,
7,7,0,0.001609,0.00455,0,0,FALSE,
7,8,0,0.00195,0.004035,0,0,FALSE,
7,9,0,0.002323,0.006092,0,0,FALSE,
9,4,25,0.001046,0.001624,1,0,FALSE,
9,5,2.5,0.001053,0.001214,0,1,FALSE,
9,6,0,0.001301,0.004204,0,0,FALSE,
9,7,0,0.001609,0.003464,0,0,FALSE,
9,8,0,0.00195,0.003268,0,0,FALSE,
9,9,0,0.002323,0.002995,0,0,FALSE,
10,4,16.67,0.000941,0.001671,1,1,TRUE,
10,5,0,0.001026,0.003049,0,0,FALSE,
10,6,0,0.001301,0.001886,0,0,FALSE,
10,7,0,0.001609,0.002524,0,0,FALSE,
10,8,0,0.00195,0.003579,0,0,FALSE,
10,9,0,0.002323,0.006829,0,0,FALSE,
13,4,45.83,0.001448,0.005415,0,0,FALSE,
13,5,2.5,0.001053,0.001956,1,1,TRUE,
13,6,0.69,0.00131,0.002422,0,0,FALSE,
13,7,0.18,0.001612,0.002196,0,0,FALSE,
13,8,0.02,0.00195,0.003979,0,0,FALSE,
13,9,0,0.002324,0.002893,0,0,FALSE,
23,4,4.17,0.000818,0.001311,1,1,TRUE,
23,5,4.17,0.001071,0.002544,0,0,FALSE,
23,6,0.97,0.001314,0.001995,0,0,FALSE,
23,7,0.06,0.00161,0.002754,0,0,FALSE,
23,8,0,0.00195,0.005403,0,0,FALSE,
23,9,0,0.002324,0.003148,0,0,FALSE,
31,5,22.5,0.001324,0.001624,0,1,FALSE,
31,6,0.97,0.001314,0.003282,1,0,FALSE,
31,7,0.36,0.001615,0.002471,0,0,FALSE,
31,8,0.05,0.001951,0.002796,0,0,FALSE,
31,9,0.01,0.002324,0.005677,0,0,FALSE,
31,10,0,0.00273,0.00839,0,0,FALSE,
41,5,31.67,0.001502,0.002998,0,0,FALSE,
41,6,3.19,0.001344,0.001731,1,1,TRUE,
41,7,0.75,0.001621,0.003477,0,0,FALSE,
41,8,0.04,0.001951,0.002338,0,0,FALSE,
41,9,0.01,0.002324,0.006322,0,0,FALSE,
41,10,0,0.00273,0.00383,0,0,FALSE,
52,5,13.33,0.001184,0.00259,1,1,TRUE,
52,6,6.11,0.001386,0.002999,0,0,FALSE,
52,7,0.95,0.001625,0.004766,0,0,FALSE,
52,8,0.05,0.001951,0.005206,0,0,FALSE,
52,9,0.01,0.002324,0.005539,0,0,FALSE,
52,10,0,0.00273,0.008335,0,0,FALSE,
61,5,49.17,0.002019,0.00367,0,0,FALSE,
61,6,6.81,0.001396,0.002273,1,0,FALSE,
61,7,0.75,0.001621,0.001813,0,1,FALSE,
61,8,0.15,0.001953,0.002377,0,0,FALSE,
61,9,0.01,0.002324,0.004506,0,0,FALSE,
61,10,0,0.00273,0.003349,0,0,FALSE,
119,5,0.83,0.001035,0.001824,1,1,TRUE,
119,6,0.83,0.001312,0.002097,0,0,FALSE,
119,7,0.83,0.001623,0.002312,0,0,FALSE,
119,8,0.24,0.001955,0.003211,0,0,FALSE,
119,9,0.01,0.002324,0.005089,0,0,FALSE,
119,10,0,0.00273,0.004486,0,0,FALSE,
181,6,24.58,0.001725,0.002417,0,1,FALSE,
181,7,3.04,0.001659,0.003893,1,0,FALSE,
181,8,0.34,0.001956,0.003338,0,0,FALSE,
181,9,0.04,0.002324,0.003523,0,0,FALSE,
181,10,0,0.00273,0.004393,0,0,FALSE,
181,11,0,0.003169,0.005103,0,0,FALSE,
241,6,33.06,0.001944,0.003085,0,0,FALSE,
241,7,4.37,0.001682,0.002564,1,1,TRUE,
241,8,0.18,0.001953,0.002767,0,0,FALSE,
241,9,0.05,0.002325,0.006343,0,0,FALSE,
241,10,0,0.00273,0.004282,0,0,FALSE,
241,11,0,0.003169,0.004874,0,0,FALSE,
361,6,49.86,0.002595,0.004325,0,0,FALSE,
361,7,6.88,0.001728,0.003044,1,0,FALSE,
361,8,0.62,0.001962,0.004123,0,0,FALSE,
361,9,0.02,0.002324,0.002684,0,1,FALSE,
361,10,0,0.00273,0.003978,0,0,FALSE,
361,11,0,0.003169,0.003944,0,0,FALSE,
365,6,49.31,0.002567,0.003174,0,0,FALSE,
365,7,5.85,0.001709,0.00183,1,1,TRUE,
365,8,0.42,0.001958,0.002674,0,0,FALSE,
365,9,0.02,0.002324,0.002426,0,0,FALSE,
365,10,0.01,0.00273,0.005993,0,0,FALSE,
365,11,0,0.003169,0.006031,0,0,FALSE,
719,6,0.14,0.001303,0.001442,1,1,TRUE,
719,7,0.14,0.001611,0.001707,0,0,FALSE,
719,8,0.14,0.001953,0.002085,0,0,FALSE,
719,9,0.14,0.002327,0.004461,0,0,FALSE,
719,10,0,0.00273,0.007052,0,0,FALSE,
